% Graph saved at Wed Jan 10 2024 05:36:58 GMT+0100 (Central European Standard Time)
n 100 200 0
n 241 300 1
n 241 100 2
n 316.6429302360438 163.91583785270026 3
n 247.97204416009444 449.1100311279297 4
n 449.5543226411071 416.34304083666757 5
n 438.4783732740185 364.15857481725004 6
n 426.29482897022103 308.33333209880345 7
n 561.421377447587 387.21682724443457 8
n 476.1366011221197 210.03234270706918 10
n 576.9277065615111 174.83816794978762 11
e 0 1 0 5
e 0 2 1 4
e 1 2 2 3
e 2 3 3 5
e 1 3 4 1
e 0 4 5 5
e 4 5 6 4
e 4 6 7 4
e 4 7 8 4
e 5 8 9 2
e 3 7 10 3
e 7 10 11 4
e 10 8 13 5
e 8 11 14 7
