% Graph saved at Sat Jan 13 2024 13:45:05 GMT+0100 (Central European Standard Time)
n 14.269512514524823 218.52748833813715 0
n 206.99103150186662 314.40129326385204 1
n 286.73786694490457 165.12943008570997 2
n 382 200 3
n 337.6872340335122 432.11973986579375 4
n 632.3074533969541 223.38185727017597 5
n 421.8644492233856 -20.550181564775485 6
n 49.71255048920837 429.69255539977434 7
n 103.98470238794255 14.643993192506068 8
e 0 1 0 2
e 0 2 1 4
e 1 2 2 3
e 2 3 3 5
e 1 3 4 1
e 7 1 5 12
e 7 4 6 2
e 4 3 7 5
e 8 2 8 0
e 6 2 9 3
e 3 5 10 1
e 0 6 11 7
e 8 4 12 9
e 4 5 13 4
e 5 6 14 2
e 1 5 15 3
